X,Y,Z,A,T,S
-0.01,0.74,0.24,0.01,0.11,21
-0.16,1.10,0.35,0.05,0.11,21
0.03,0.73,0.38,0.03,0.11,21
-0.13,0.86,0.10,0.01,0.11,21
-0.13,1.04,-0.05,0.03,0.11,21
-0.14,0.90,-0.08,0.01,0.11,21
-0.18,0.94,-0.09,0.01,0.11,21
-0.11,0.94,-0.10,0.00,0.11,21
-0.18,0.92,-0.11,0.00,0.11,21
-0.17,1.02,-0.13,0.01,0.11,21
-0.32,1.29,-0.14,0.15,0.11,21
0.08,0.85,-0.12,0.07,0.11,22
-0.23,1.30,0.05,0.19,0.11,22
-0.03,0.80,0.06,0.09,0.11,23
-0.05,0.86,0.21,0.05,0.11,23
-0.03,0.75,0.27,0.02,0.11,23
-0.18,1.02,0.42,0.02,0.11,23
-0.06,1.30,0.20,0.16,0.11,23
0.17,0.37,-0.25,0.08,0.11,24
-0.29,1.14,-0.19,0.11,0.11,24
-0.23,1.00,-0.01,0.05,0.11,24
-0.08,1.01,-0.10,0.03,0.11,24
-0.04,1.01,-0.11,0.02,0.11,24
-0.05,0.91,-0.17,0.01,0.11,24
-0.02,1.05,-0.18,0.03,0.11,24
-0.02,0.95,-0.12,0.01,0.11,24
0.03,1.03,-0.19,0.02,0.11,24
0.00,0.99,-0.10,0.01,0.11,24
0.01,0.94,-0.15,0.01,0.11,24
0.02,1.00,-0.15,0.00,0.11,24
0.01,0.97,-0.15,0.00,0.11,24
-0.00,0.99,-0.13,0.00,0.11,24
0.00,0.98,-0.14,0.00,0.11,24
-0.01,0.98,-0.13,0.00,0.11,24
-0.02,0.98,-0.12,0.00,0.11,24
-0.02,0.98,-0.12,0.00,0.11,24
-0.01,0.98,-0.10,0.00,0.11,24
-0.01,0.99,-0.11,0.00,0.11,24
0.00,0.99,-0.09,0.00,0.11,24
-0.03,0.98,-0.07,0.00,0.11,24
-0.02,1.03,-0.03,0.01,0.11,24
-0.03,0.99,0.06,0.01,0.11,24
-0.10,1.04,0.20,0.02,0.11,24
-0.10,0.90,0.29,0.01,0.11,24
-0.07,0.87,0.33,0.01,0.11,24
-0.10,0.89,0.40,0.00,0.11,24
-0.02,0.81,0.40,0.00,0.11,24
-0.12,0.91,0.41,0.00,0.11,24
-0.13,1.09,0.43,0.05,0.11,24
-0.08,0.71,0.06,0.02,0.11,24
-0.26,1.04,-0.08,0.03,0.11,24
-0.02,0.94,-0.08,0.02,0.11,24
-0.23,0.99,-0.07,0.01,0.11,24
-0.13,0.94,-0.09,0.00,0.11,24
-0.15,0.95,-0.12,0.00,0.11,24
-0.13,0.98,-0.19,0.00,0.11,24
-0.27,1.27,-0.24,0.14,0.11,24
-0.03,0.85,-0.08,0.07,0.11,25
0.24,1.24,0.11,0.15,0.11,25
-0.16,0.90,0.19,0.08,0.11,26
-0.02,0.88,0.28,0.04,0.11,26
-0.04,0.74,0.29,0.02,0.11,26
-0.08,1.05,0.45,0.04,0.11,26
-0.02,0.84,0.50,0.02,0.11,26
-0.08,1.36,0.01,0.19,0.11,26
-0.15,0.97,0.00,0.09,0.11,27
-0.03,0.91,-0.08,0.05,0.11,27
-0.27,0.99,-0.16,0.02,0.11,27
-0.13,0.98,-0.12,0.01,0.11,27
-0.24,0.94,-0.16,0.01,0.11,27
-0.12,1.04,-0.18,0.02,0.11,27
-0.26,1.22,-0.20,0.12,0.11,27
0.10,1.02,-0.08,0.07,0.11,28
0.10,1.20,0.06,0.14,0.11,28
-0.03,0.87,0.15,0.07,0.11,29
-0.15,0.78,0.30,0.03,0.11,29
0.03,0.73,0.30,0.02,0.11,29
-0.12,1.01,0.49,0.01,0.11,29
0.10,1.24,0.40,0.13,0.11,29
-0.06,0.76,-0.14,0.06,0.11,30
-0.32,1.06,-0.21,0.06,0.11,30
-0.11,0.97,-0.14,0.03,0.11,30
-0.25,0.94,-0.16,0.02,0.11,30
-0.17,0.99,-0.18,0.01,0.11,30
-0.18,0.91,-0.10,0.00,0.11,30
-0.17,1.02,-0.13,0.01,0.11,30
-0.37,1.22,-0.23,0.12,0.11,30
0.21,0.84,-0.08,0.06,0.11,31
-0.21,1.13,0.17,0.10,0.11,31
-0.01,0.85,0.13,0.05,0.11,31
-0.03,0.81,0.23,0.02,0.11,31
-0.03,0.82,0.27,0.01,0.11,31
-0.16,0.95,0.44,0.01,0.11,31
-0.04,1.16,0.28,0.08,0.11,31
0.10,0.70,-0.24,0.04,0.11,31
-0.37,1.06,-0.20,0.05,0.11,31
-0.14,0.98,-0.04,0.02,0.11,31
-0.11,1.00,-0.08,0.01,0.11,31
-0.11,0.99,-0.04,0.01,0.11,31
-0.15,0.96,-0.14,0.00,0.11,31
0.00,0.95,-0.14,0.00,0.11,31
-0.07,0.98,-0.10,0.00,0.11,31
-0.05,1.02,-0.16,0.01,0.11,31
0.02,0.97,-0.09,0.00,0.11,31
-0.05,0.97,-0.12,0.00,0.11,31
0.00,0.99,-0.11,0.00,0.11,31
-0.02,0.97,-0.12,0.00,0.11,31
-0.03,1.00,-0.11,0.00,0.11,31
-0.03,0.98,-0.10,0.00,0.11,31
-0.04,0.99,-0.11,0.00,0.11,31
-0.02,0.97,-0.11,0.00,0.11,31
-0.01,0.99,-0.09,0.00,0.11,31
-0.01,0.99,-0.07,0.00,0.11,31
0.02,1.04,-0.00,0.02,0.11,31
-0.04,0.99,0.08,0.01,0.11,31
-0.06,1.01,0.17,0.01,0.11,31
-0.04,0.91,0.30,0.01,0.11,31
-0.02,0.88,0.33,0.00,0.11,31
-0.03,0.86,0.37,0.00,0.11,31
-0.06,0.85,0.37,0.00,0.11,31
0.00,0.83,0.43,0.00,0.11,31
-0.05,0.86,0.47,0.00,0.11,31
-0.10,1.67,0.44,0.33,0.11,31
0.18,0.54,0.05,0.17,0.11,31
-0.20,1.11,-0.21,0.14,0.11,31
-0.05,1.00,-0.18,0.07,0.11,32
-0.11,0.93,-0.17,0.03,0.11,32
-0.13,1.02,-0.16,0.03,0.11,32
-0.18,0.90,-0.14,0.01,0.11,32
-0.20,1.05,-0.17,0.03,0.11,32
-0.32,1.20,-0.08,0.12,0.11,32
0.02,0.90,-0.14,0.06,0.11,33
0.07,1.44,0.12,0.25,0.12,33
-0.06,0.73,0.12,0.12,0.12,33
-0.03,0.84,0.23,0.06,0.12,34
-0.06,0.79,0.31,0.03,0.12,34
-0.20,1.01,0.47,0.02,0.12,34
0.02,1.29,0.35,0.15,0.12,34
0.19,0.56,-0.11,0.08,0.12,35
-0.21,1.05,-0.20,0.06,0.12,35
-0.21,0.94,-0.17,0.03,0.12,35
-0.16,0.93,-0.11,0.02,0.12,35
-0.08,0.97,-0.13,0.01,0.12,35
-0.16,1.00,-0.16,0.00,0.12,35
-0.26,1.03,-0.08,0.02,0.12,35
-0.08,1.22,-0.22,0.12,0.12,35
0.10,1.04,-0.05,0.08,0.12,36
-0.04,0.87,0.10,0.04,0.12,36
-0.06,0.85,0.24,0.02,0.12,36
-0.07,0.71,0.29,0.01,0.12,36
-0.19,1.08,0.48,0.04,0.12,36
0.04,1.36,0.21,0.20,0.12,36
0.20,0.64,-0.16,0.10,0.12,37
-0.34,0.98,-0.16,0.05,0.12,37
-0.00,1.08,-0.03,0.07,0.12,37
-0.21,0.98,-0.12,0.03,0.12,37
-0.12,0.97,-0.10,0.02,0.12,37
-0.23,0.93,-0.19,0.01,0.12,37
-0.13,1.01,-0.14,0.01,0.12,37
-0.32,1.21,-0.15,0.11,0.12,37
0.06,0.78,-0.04,0.05,0.12,37
-0.08,1.22,0.11,0.14,0.12,37
-0.02,0.77,0.13,0.07,0.12,38
-0.05,0.80,0.22,0.03,0.12,38
-0.04,0.82,0.29,0.02,0.12,38
-0.15,1.00,0.45,0.01,0.12,38
-0.03,2.01,0.14,0.51,0.12,38
-0.06,0.79,-0.10,0.25,0.12,38
0.03,1.01,-0.18,0.13,0.13,38
-0.09,0.94,-0.17,0.07,0.13,39
-0.09,1.00,-0.12,0.03,0.13,39
-0.20,0.97,-0.09,0.02,0.13,39
-0.03,1.01,-0.17,0.01,0.13,39
0.03,0.94,-0.12,0.01,0.13,39
-0.06,0.97,-0.06,0.00,0.12,39
0.08,1.05,-0.13,0.03,0.12,39
0.02,0.95,-0.10,0.01,0.12,39
0.02,0.99,-0.08,0.01,0.12,39
0.03,0.99,-0.09,0.00,0.12,39
0.03,0.97,-0.09,0.00,0.12,39
0.02,0.99,-0.08,0.00,0.12,39
0.02,0.98,-0.08,0.00,0.12,39
0.01,0.98,-0.11,0.00,0.12,39
0.01,0.99,-0.09,0.00,0.12,39
0.01,0.98,-0.08,0.00,0.12,39
0.01,0.98,-0.08,0.00,0.12,39
0.00,1.00,-0.07,0.00,0.12,39
0.02,0.98,-0.07,0.00,0.12,39
0.01,0.99,-0.06,0.00,0.12,39
0.01,0.99,-0.04,0.00,0.12,39
0.01,0.99,-0.04,0.00,0.12,39
-0.01,0.99,-0.02,0.00,0.12,39
0.00,0.98,-0.00,0.00,0.12,39
0.03,0.99,0.01,0.00,0.12,39
0.01,0.99,0.02,0.00,0.12,39
