Steps,Delta,SPM,Activity,Secs
4396,28,55,1,12440
4408,12,23,1,12470
4408,0,0,1,12500
4434,26,47,1,12530
4458,24,47,1,12560
4474,16,31,1,12590
4474,0,0,1,12620
4474,0,0,1,12650
4474,0,0,1,12680
4478,4,7,1,12710
4478,0,0,1,12740
4484,6,11,1,12770
4486,2,239,3,12771
4486,0,0,1,12771
4506,20,39,1,12800
4522,16,31,1,12830
4524,2,120,2,12831
4524,0,0,1,12832
4546,22,43,1,12861
4546,0,0,1,12891
4546,0,0,1,12921
4546,0,0,1,12951
4546,0,0,1,12981
4546,0,0,1,13011
4546,0,0,1,13041
4546,0,0,1,13071
4546,0,0,1,13101
4546,0,0,1,13131
4546,0,0,1,13161
4546,0,0,1,13191
4548,2,3,1,13221
4548,0,0,1,13251
4548,0,0,1,13281
4548,0,0,1,13311
4548,0,0,1,13341
4548,0,0,1,13371
4548,0,0,1,13401
4548,0,0,1,13431
4548,0,0,1,13461
4548,0,0,1,13491
4548,0,0,1,13521
4548,0,0,1,13551
4548,0,0,1,13581
4548,0,0,1,13611
4548,0,0,1,13641
4548,0,0,1,13672
4548,0,0,1,13702
4548,0,0,1,13732
4548,0,0,1,13762
4548,0,0,1,13792
4548,0,0,1,13822
4548,0,0,1,13852
4548,0,0,1,13882
4548,0,0,1,13912
4556,8,15,1,13942
4558,2,133,2,13943
4558,0,0,1,13943
4560,2,3,1,13972
4566,6,11,1,14002
4566,0,0,1,14032
4566,0,0,1,14062
4568,2,3,1,14092
4568,0,0,1,14122
4570,2,3,1,14152
4570,0,0,1,14182
4570,0,0,1,14212
4570,0,0,1,14242
4576,6,12,1,14272
4580,4,7,1,14302
4606,26,51,1,14332
4618,12,23,1,14362
4632,14,27,1,14393
4646,14,27,1,14423
4650,4,7,1,14453
4664,14,27,1,14483
4672,8,15,1,14513
4672,0,0,1,14543
4672,0,0,1,14573
4676,4,7,1,14603
4676,0,0,1,14633
4678,2,3,1,14663
4678,0,0,1,14693
4678,0,0,1,14723
4678,0,0,1,14753
4678,0,0,1,14783
4678,0,0,1,14813
4678,0,0,1,14843
4678,0,0,1,14873
4678,0,0,1,14903
4678,0,0,1,14933
4678,0,0,1,14963
4678,0,0,1,14993
4678,0,0,1,15023
4678,0,0,1,15053
4678,0,0,1,15083
4678,0,0,1,15113
4678,0,0,1,15143
4678,0,0,1,15173
4678,0,0,1,15203
4690,12,23,1,15234
4690,0,0,1,15264
4690,0,0,1,15294
4690,0,0,1,15324
4700,10,19,1,15354
4720,20,39,1,15384
